"A total of %1 record(s) were added to queue. %2 items were updated.","A total of %1 record(s) were added to queue. %2 items were updated."
"No records were added to queue.","No records were added to queue."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"No records were updated.","No records were updated."
"Review Summaries","Review Summaries"
"Location country","Location country"
"Location state/region","Location state/region"
"Verified customer","Verified customer"
Helpful,Helpful
Recommended,Recommended
"Pros & Cons","Pros & Cons"
Unknown,Unknown
Ready,Ready
Pending,Pending
Error,Error
Disabled,Disabled
Processing,Processing
"In Queue","In Queue"
Yes,Yes
No,No
"Unable to create queue items for context length exceeded error","Unable to create queue items for context length exceeded error"
"Queue item with id %1 has no dependencies","Queue item with id %1 has no dependencies"
"Unable to load dependencies for queue item with id %1","Unable to load dependencies for queue item with id %1"
"Callback data is invalid","Callback data is invalid"
"Callback data has error","Callback data has error"
"Queue items are empty","Queue items are empty"
" Product: %1"," Product: %1"
"Empty queue","Empty queue"
"Review Summary Creation Failed: A template prompt is required to generate a summary. Please go to the module settings and set the default template prompt before proceeding.","Review Summary Creation Failed: A template prompt is required to generate a summary. Please go to the module settings and set the default template prompt before proceeding."
"Review Summary Creation Failed: A product must have at least one review to generate a summary.","Review Summary Creation Failed: A product must have at least one review to generate a summary."
"Review Summary with ID %1 does not exist","Review Summary with ID %1 does not exist"
"Test exception message","Test exception message"
"Product Reviews Summary","Product Reviews Summary"
"Please switch to a corresponding store view to review, edit and generate the summary","Please switch to a corresponding store view to review, edit and generate the summary"
Generate,Generate
"Add to queue","Add to queue"
"Add to Queue","Add to Queue"
"Review Summary (by Mageworx)","Review Summary (by Mageworx)"
Access,Access
Settings,Settings
"Review AI","Review AI"
"Review AI Settings","Review AI Settings"
Enable,Enable
Title,Title
Description,Description
"The following HTML tags are allowed: a, b, br, em, i, strong","The following HTML tags are allowed: a, b, br, em, i, strong"
"Additional attributes that will be used to generate the review summary","Additional attributes that will be used to generate the review summary"
"Min number of reviews to show a summary on a product page","Min number of reviews to show a summary on a product page"
"Min average rating to show a summary on a product page","Min average rating to show a summary on a product page"
Content,Content
"Chat response length limit (in tokens per 1 summary)","Chat response length limit (in tokens per 1 summary)"
"Add product name to the request","Add product name to the request"
"Open AI configuration","Open AI configuration"
"Open AI Model","Open AI Model"
"<b>GPT-4</b> More capable than any GPT-3.5 model, able to do more complex tasks, and optimized for chat. Availability depends on your pricing plan. For many basic tasks, the difference between GPT-4 and GPT-3.5 models is not significant.<br>
                    <b>GPT-3.5 turbo</b> (recommended) - Most capable GPT-3.5 model and optimized for chat at 1/10th the cost of text-davinci-003. Will be updated with our latest model iteration 2 weeks after it is released.<br>","<b>GPT-4</b> More capable than any GPT-3.5 model, able to do more complex tasks, and optimized for chat. Availability depends on your pricing plan. For many basic tasks, the difference between GPT-4 and GPT-3.5 models is not significant.<br>
                    <b>GPT-3.5 turbo</b> (recommended) - Most capable GPT-3.5 model and optimized for chat at 1/10th the cost of text-davinci-003. Will be updated with our latest model iteration 2 weeks after it is released.<br>"
Temperature,Temperature
"By OpenAI docs: What sampling temperature to use, between 0 and 2. Higher values like 0.8 will make the output more random, while lower values like 0.2 will make it more focused and deterministic.","By OpenAI docs: What sampling temperature to use, between 0 and 2. Higher values like 0.8 will make the output more random, while lower values like 0.2 will make it more focused and deterministic."
Scope,Scope
"Enable Generation","Enable Generation"
"Store ID","Store ID"
"Disable Generation","Disable Generation"
"Summary ID","Summary ID"
SKU,SKU
"Product Name","Product Name"
"Attribute Set","Attribute Set"
Thumbnail,Thumbnail
Store,Store
Status,Status
Summary,Summary
Created,Created
Updated,Updated
"Is Enabled","Is Enabled"
