Reward Points,Prämienpunkte
Reward Points Transactions,Prämienpunkt-Transaktionen
Website,Website
Balance,Saldo
Currency Amount,Währungsbetrag
Expiration Date,Verfallsdatum
Unlimited (functionality is disabled),Unbegrenzt (Funktionalität ist deaktiviert)
Unlimited,Unbegrenzt
Update Reward Points Balance,Prämienpunktestand aktualisieren
Store,Speichern
Update Points,Punkte aktualisieren
It is possible to use a negative variable when subtracting points.,"Es ist möglich, beim Subtrahieren von Punkten eine negative Variable zu verwenden. "
New Expiration Period,Neue Verfallsfrist
Send Notification,Benachrichtigung senden
Comment for Customer,Kommentar für Kunden
0 - remains unchanged.,0 - bleibt unverändert.
Leave empty for the set unlimited expiration date.,Für das festgelegte unbegrenzte Verfallsdatum leer lassen.
For reference:,Als Referenz:
"The ""Default Expiration Period"" is %1 days.",Die „Standard-Verfallszeit“ beträgt %1 Tage.
Notifications are  sent only in case of the points balance changes.,"Benachrichtigungen werden nur gesendet, wenn sich der Punktestand ändert."
Customers' Balances,Kundensalden
Points Amount,Punktestand
Total,Gesamtzahl
Apply Reward Points. Customer balance is %1. Points can be applied for: %2.,Prämienpunkte anwenden. Das Guthaben des Kunden beträgt %1. Punkte können angewendet werden für: %2.
(max %1 points),(max. %1 Punkte)
Apply the rule only to cart items matching the following conditions (leave blank for all items).,"Wenden Sie die Regel nur auf Artikel im Warenkorb an, die den folgenden Bedingungen entsprechen (für alle Artikel leer lassen)."
If the action conditions are empty - the price will be calculated from the cart subtotal with discount.,"Wenn die Aktionsbedingungen leer sind, wird der Preis aus der Zwischensumme des Warenkorbs mit Rabatt berechnet."
If the action conditions exist and include the valid items - the amount will be calculated using the valid items' price and qty.,"Wenn die Aktionsbedingungen vorhanden sind und die gültigen Artikel einschließen, wird der Betrag anhand des Preises und der Menge der gültigen Artikel berechnet."
If the action conditions exist and don't include the valid items  - the rule will be ignored.,"Falls die Aktionsbedingungen vorhanden sind und die gültigen Artikel nicht enthalten sind, wird die Regel ignoriert."
Apply To,Anwenden auf
Labels,Etiketten
Store View Specific Labels,Geschäftsspezifische Etiketten anzeigen
Expiration date is %1.,Das Verfallsdatum ist %1.
%1 - Reward Points Actions,%1 - Prämienpunkte-Aktionen
Reward Points Actions,Prämienpunkte-Aktionen
Marketing,Marketing
Points Transactions,Punkte-Transaktionen
You have deleted the rule.,Sie haben die Regel gelöscht.
