"Save Agent","Save Agent"
"New Agent","New Agent"
"Agent Information","Agent Information"
"Account Information","Account Information"
Username,Username
"First Name","First Name"
"Last Name","Last Name"
E-mail,E-mail
Password,Password
"New Password","New Password"
"Password Confirmation","Password Confirmation"
Level,Level
"This account is","This account is"
"Account Status","Account Status"
Active,Active
Inactive,Inactive
Timezone,Timezone
Signature,Signature
"Agent Group","Agent Group"
"Ticket Scope","Ticket Scope"
"Please Select","Please Select"
"Global Access","Global Access"
"Group Access","Group Access"
"Restricted Access","Restricted Access"
"Current User Identity Verification","Current User Identity Verification"
"Your Password","Your Password"
Assigned,Assigned
"Role Name","Role Name"
Agent,Agent
"Agent Role","Agent Role"
"Save Group","Save Group"
"New Group","New Group"
"Group Information","Group Information"
"Add Group","Add Group"
"Group Name","Group Name"
"Businesshour Hour","Businesshour Hour"
Status,Status
Enabled,Enabled
Disabled,Disabled
Group,Group
"Save Level","Save Level"
"New Level","New Level"
"Level Information","Level Information"
"Add Level","Add Level"
Name,Name
Description,Description
Role,Role
"Add New Role","Add New Role"
"Add/Manage Agent Role","Add/Manage Agent Role"
"Save Businesshours","Save Businesshours"
"New Businesshours","New Businesshours"
"Yearly Holiday List","Yearly Holiday List"
"Helpdesk Hours","Helpdesk Hours"
"Add Businesshours","Add Businesshours"
"Businesshour Name","Businesshour Name"
"Businesshours Information","Businesshours Information"
"Businesshours Info","Businesshours Info"
Save,Save
"New Connect Email","New Connect Email"
"Fetch Mails","Fetch Mails"
"IMAP / POP Configuration","IMAP / POP Configuration"
"User Name","User Name"
"Host Name","Host Name"
port,port
Mailbox,Mailbox
Protocol,Protocol
"Select Protocol","Select Protocol"
IMAP,IMAP
POP,POP
"Fetch Emails (no.)","Fetch Emails (no.)"
"Helpdesk Action","Helpdesk Action"
"Do Nothing","Do Nothing"
"Delete Email(s)","Delete Email(s)"
"Create Folder","Create Folder"
"Move Email(s)","Move Email(s)"
"Connect Email Information","Connect Email Information"
Email,Email
"Default Values of Ticket","Default Values of Ticket"
"Default Group","Default Group"
"Default Type","Default Type"
"Default Priority","Default Priority"
"Connect Email Info","Connect Email Info"
"Save Customer","Save Customer"
"New Customer","New Customer"
"Customer Information","Customer Information"
"Add Customer","Add Customer"
"Customer Name","Customer Name"
"Select Customer","Select Customer"
"Select Organizations","Select Organizations"
Customer,Customer
"Save Organization","Save Organization"
"New Organization","New Organization"
"Organization Information","Organization Information"
"Add Organization","Add Organization"
"Organization Name","Organization Name"
Domain,Domain
Notes,Notes
"Customer Role","Customer Role"
Goups,Goups
Organization,Organization
"Set Priority As","Set Priority As"
"Set Type As","Set Type As"
"Set Status As","Set Status As"
"Add Tag","Add Tag"
"Add CC","Add CC"
"Add BCC","Add BCC"
"Add Note","Add Note"
"Assign To Agent","Assign To Agent"
"Assign To Group","Assign To Group"
"Send Mail To Agent","Send Mail To Agent"
"Send Mail To Group","Send Mail To Group"
"Send Mail To Customer","Send Mail To Customer"
"Delete Ticket","Delete Ticket"
"Mark Spam","Mark Spam"
"New Email Template","New Email Template"
Delete,Delete
"Preview Template","Preview Template"
"Default Config","Default Config"
"Template Information","Template Information"
"Currently Used For","Currently Used For"
"Template Name","Template Name"
"Template Subject","Template Subject"
"Insert Variable...","Insert Variable..."
"Template Content","Template Content"
"Template Styles","Template Styles"
"Email Template Information","Email Template Information"
"Email Template Info","Email Template Info"
"Save Event","Save Event"
"New Event","New Event"
Rules,Rules
"Add Event","Add Event"
"Events Information","Events Information"
"Events Info","Events Info"
Action,Action
"Save Response","Save Response"
"New Responses","New Responses"
Actions,Actions
"Add Response","Add Response"
"Can Use","Can Use"
Me,Me
"All Agents","All Agents"
Groups,Groups
"Response Information","Response Information"
"Response Info","Response Info"
"New Slapolicy","New Slapolicy"
"Conditions for SLA","Conditions for SLA"
"Add SLA Policy","Add SLA Policy"
"Sort Order","Sort Order"
"SLA Targets","SLA Targets"
"SLA Policy","SLA Policy"
"Save Item","Save Item"
"New Item","New Item"
"Ticket Support Center Information","Ticket Support Center Information"
"Add Support Center","Add Support Center"
"Support Center Name","Support Center Name"
"CMS Page","CMS Page"
"Ticket Support Center","Ticket Support Center"
"Save Attribute","Save Attribute"
"Add Attribute","Add Attribute"
"Default label","Default label"
"Attribute Code","Attribute Code"
"This is used internally. Make sure you don't use spaces or more than %1 characters.","This is used internally. Make sure you don't use spaces or more than %1 characters."
"Field Dependency","Field Dependency"
"Input Type","Input Type"
"Values Required","Values Required"
"Input Validation","Input Validation"
Enable,Enable
Disable,Disable
"Media Image","Media Image"
File,File
"Ticket Custom Attribute Information","Ticket Custom Attribute Information"
Properties,Properties
"Save Priority","Save Priority"
"Add Priority","Add Priority"
"Ticket Priority Information","Ticket Priority Information"
"Ticket Priority","Ticket Priority"
"Save Status","Save Status"
"New Status","New Status"
"Ticket Status","Ticket Status"
"Add Status","Add Status"
"Ticket Status Information","Ticket Status Information"
"Save Ticket","Save Ticket"
"New Ticket","New Ticket"
"Ticket Information","Ticket Information"
"Add Ticket","Add Ticket"
Type,Type
Subject,Subject
Query,Query
"Ticket Info","Ticket Info"
"Save Type","Save Type"
"New Type","New Type"
"Add Type","Add Type"
"Ticket Type Information","Ticket Type Information"
"Ticket Type","Ticket Type"
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"There are some error during this action.","There are some error during this action."
Webkul_Helpdesk::activity,Webkul_Helpdesk::activity
Activity,Activity
"Add Agent","Add Agent"
"Manage Agent","Manage Agent"
"This user no longer exists.","This user no longer exists."
"Edit Agent","Edit Agent"
Users,Users
"Manage Agents","Manage Agents"
"Unable to find agent to save","Unable to find agent to save"
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"Agent has been successfully saved","Agent has been successfully saved"
"Manage Group","Manage Group"
"This group no longer exists.","This group no longer exists."
"Edit Group","Edit Group"
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Unable to find group to save","Unable to find group to save"
"Group successfully saved","Group successfully saved"
"There are some error to save type","There are some error to save type"
"Manage Level","Manage Level"
"This level no longer exists.","This level no longer exists."
"Edit Level","Edit Level"
